"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\raja2\Crime-Diaries\backend\src\modules\record-links\record-links.service.js", "JavaScript", 0, 185, 0, 0, 0, 23, 208
"c:\Users\raja2\Crime-Diaries\backend\src\modules\records\records.controller.js", "JavaScript", 0, 288, 0, 0, 3, 46, 337
"c:\Users\raja2\Crime-Diaries\backend\src\modules\records\records.router.js", "JavaScript", 0, 28, 0, 0, 1, 8, 37
"c:\Users\raja2\Crime-Diaries\backend\src\modules\records\records.routes.js", "JavaScript", 0, 219, 0, 0, 6, 10, 235
"c:\Users\raja2\Crime-Diaries\backend\src\modules\records\records.service.js", "JavaScript", 0, 1123, 0, 0, 65, 159, 1347
"c:\Users\raja2\Crime-Diaries\backend\src\modules\report-builder\queryEngine.js", "JavaScript", 0, 732, 0, 0, 33, 109, 874
"c:\Users\raja2\Crime-Diaries\backend\src\modules\report-builder\reportBuilder.controller.js", "JavaScript", 0, 569, 0, 0, 73, 84, 726
"c:\Users\raja2\Crime-Diaries\backend\src\modules\report-builder\reportBuilder.router.js", "JavaScript", 0, 28, 0, 0, 30, 13, 71
"c:\Users\raja2\Crime-Diaries\backend\src\modules\report-builder\reportableFields.config.js", "JavaScript", 0, 242, 0, 0, 29, 16, 287
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\reports.controller.js", "JavaScript", 0, 1034, 0, 0, 14, 130, 1178
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\reports.router.js", "JavaScript", 0, 19, 0, 0, 5, 8, 32
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\scheduler.js", "JavaScript", 0, 129, 0, 0, 6, 22, 157
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\templates\arrest-summary.html", "HTML", 0, 0, 0, 119, 0, 4, 123
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\templates\cases-register.html", "HTML", 0, 0, 0, 119, 0, 4, 123
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\templates\daily-status.html", "HTML", 0, 0, 0, 160, 0, 5, 165
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\templates\district-compilation.html", "HTML", 0, 0, 0, 119, 0, 4, 123
"c:\Users\raja2\Crime-Diaries\backend\src\modules\reports\templates\pcr-call-log.html", "HTML", 0, 0, 0, 119, 0, 4, 123
"c:\Users\raja2\Crime-Diaries\backend\src\modules\upload\upload.controller.js", "JavaScript", 0, 46, 0, 0, 3, 7, 56
"c:\Users\raja2\Crime-Diaries\backend\src\modules\upload\upload.routes.js", "JavaScript", 0, 49, 0, 0, 0, 4, 53
"c:\Users\raja2\Crime-Diaries\backend\src\modules\users\users.controller.js", "JavaScript", 0, 241, 0, 0, 1, 32, 274
"c:\Users\raja2\Crime-Diaries\backend\src\modules\users\users.router.js", "JavaScript", 0, 13, 0, 0, 2, 6, 21
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\etl\backfill.js", "JavaScript", 0, 27, 0, 0, 2, 8, 37
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\etl\bridges.js", "JavaScript", 0, 75, 0, 0, 5, 8, 88
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\etl\dimensions.js", "JavaScript", 0, 268, 0, 0, 7, 29, 304
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\etl\normalize.js", "JavaScript", 0, 37, 0, 0, 4, 8, 49
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\etl\sync.js", "JavaScript", 0, 323, 0, 0, 13, 36, 372
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\warehouse.controller.js", "JavaScript", 0, 26, 0, 0, 0, 4, 30
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\warehouse.db.js", "JavaScript", 0, 148, 0, 0, 4, 16, 168
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\warehouse.router.js", "JavaScript", 0, 11, 0, 0, 2, 5, 18
"c:\Users\raja2\Crime-Diaries\backend\src\modules\warehouse\warehouse.scheduler.js", "JavaScript", 0, 66, 0, 0, 1, 10, 77
"c:\Users\raja2\Crime-Diaries\backend\src\modules\workflow\workflow.controller.js", "JavaScript", 0, 67, 0, 0, 0, 12, 79
"c:\Users\raja2\Crime-Diaries\backend\src\modules\workflow\workflow.router.js", "JavaScript", 0, 7, 0, 0, 0, 4, 11
"c:\Users\raja2\Crime-Diaries\backend\src\modules\workflow\workflow.routes.js", "JavaScript", 0, 212, 0, 0, 6, 10, 228
"c:\Users\raja2\Crime-Diaries\backend\src\modules\workflow\workflow.service.js", "JavaScript", 0, 153, 0, 0, 5, 32, 190
"c:\Users\raja2\Crime-Diaries\backend\src\routes\record.routes.js", "JavaScript", 0, 19, 0, 0, 1, 6, 26
"c:\Users\raja2\Crime-Diaries\backend\src\utils\ApiError.js", "JavaScript", 0, 22, 0, 0, 0, 2, 24
"c:\Users\raja2\Crime-Diaries\backend\src\utils\ApiResponse.js", "JavaScript", 0, 15, 0, 0, 0, 1, 16
"c:\Users\raja2\Crime-Diaries\backend\src\utils\asyncHandler.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\raja2\Crime-Diaries\backend\src\utils\dateFormat.js", "JavaScript", 0, 54, 0, 0, 3, 12, 69
"c:\Users\raja2\Crime-Diaries\backend\src\utils\generateToken.js", "JavaScript", 0, 48, 0, 0, 0, 9, 57
"c:\Users\raja2\Crime-Diaries\backend\src\utils\hash.js", "JavaScript", 0, 52, 0, 0, 3, 10, 65
